role,anime_type,genre_a,genre_b,witness_id
protag,shonen,isekai,mecha,v4_lead_shonen_001
protag,shonen,mecha,slice,jin
protag,shonen,horror,mecha,zuri
protag,shonen,mecha,romance,v4_lead_shonen_002
protag,shonen,mecha,sports,cv3_lead_004
protag,shonen,cyber,mecha,niko
protag,shonen,fantasy,mecha,v4_lead_shonen_003
protag,shonen,idol,mecha,riko
protag,shonen,mecha,mystery,riko
protag,shonen,comedy,mecha,cv3_lead_004
protag,shonen,cooking,mecha,zuri
protag,shonen,mecha,military,rei
protag,shonen,mecha,supernatural,v4_lead_shonen_002
protag,shonen,mecha,space,rei
protag,shonen,magical,mecha,niko
protag,shonen,mecha,survival,jin
protag,shonen,mecha,pirate,v4_lead_shonen_004
protag,shonen,martial,mecha,n_ryoko
protag,shonen,mecha,mythology,v4_lead_shonen_003
protag,shonen,mecha,nordic,v4_lead_shonen_004
protag,shonen,mecha,samurai,v4_lead_shonen_001
protag,shonen,mecha,shinobi,cv3_lead_053
protag,shonen,mecha,vampire,vg_lead_shonen_mecha
protag,shonen,grimdark,mecha,vg_lead_shonen_mecha
protag,shonen,mecha,monster_taming,g30_protag_shonen_053
protag,shonen,crime,mecha,g30_protag_shonen_003
protag,shonen,kaiju,mecha,g30_protag_shonen_004
protag,shonen,cosmic_horror,mecha,g30_protag_shonen_003
protag,shonen,arabia,mecha,g30_protag_shonen_004
protag,shonen,isekai,slice,cv3_lead_054
protag,shonen,horror,isekai,cv3_lead_021
protag,shonen,isekai,romance,kaito
protag,shonen,isekai,sports,cv3_lead_054
protag,shonen,cyber,isekai,cv3_lead_014
protag,shonen,fantasy,isekai,sora
protag,shonen,idol,isekai,v4_lead_shonen_005
protag,shonen,isekai,mystery,v4_lead_shonen_006
protag,shonen,comedy,isekai,v4_lead_shonen_007
protag,shonen,cooking,isekai,n_mikoto
protag,shonen,isekai,military,sora
protag,shonen,isekai,supernatural,v4_lead_shonen_008
protag,shonen,isekai,space,v4_lead_shonen_008
protag,shonen,isekai,magical,n_mikoto
protag,shonen,isekai,survival,cv3_lead_014
protag,shonen,isekai,pirate,kaito
protag,shonen,isekai,martial,v4_lead_shonen_006
protag,shonen,isekai,mythology,v4_lead_shonen_005
protag,shonen,isekai,nordic,v4_lead_shonen_007
protag,shonen,isekai,samurai,v4_lead_shonen_001
protag,shonen,isekai,shinobi,cv3_lead_021
protag,shonen,isekai,vampire,vg_lead_shonen_isekai
protag,shonen,grimdark,isekai,vg_lead_shonen_isekai
protag,shonen,isekai,monster_taming,g30_protag_shonen_053
protag,shonen,crime,isekai,g30_protag_shonen_005
protag,shonen,isekai,kaiju,g30_protag_shonen_006
protag,shonen,cosmic_horror,isekai,g30_protag_shonen_006
protag,shonen,arabia,isekai,g30_protag_shonen_005
protag,shonen,horror,slice,cv3_lead_026
protag,shonen,romance,slice,cv3_lead_006
protag,shonen,slice,sports,rin
protag,shonen,cyber,slice,v4_lead_shonen_009
protag,shonen,fantasy,slice,cv3_lead_018
protag,shonen,idol,slice,v4_lead_shonen_010
protag,shonen,mystery,slice,cv3_lead_055
protag,shonen,comedy,slice,cv3_lead_006
protag,shonen,cooking,slice,v4_lead_shonen_011
protag,shonen,military,slice,v4_lead_shonen_011
protag,shonen,slice,supernatural,cv3_lead_055
protag,shonen,slice,space,cv3_lead_026
protag,shonen,magical,slice,cv3_lead_018
protag,shonen,slice,survival,jin
protag,shonen,pirate,slice,rin
protag,shonen,martial,slice,v4_lead_shonen_010
protag,shonen,mythology,slice,v4_lead_shonen_009
protag,shonen,nordic,slice,v4_lead_shonen_012
protag,shonen,samurai,slice,v4_lead_shonen_036
protag,shonen,shinobi,slice,v4_lead_shonen_012
protag,shonen,slice,vampire,vg_lead_shonen_slice
protag,shonen,grimdark,slice,vg_lead_shonen_slice
protag,shonen,monster_taming,slice,g30_protag_shonen_007
protag,shonen,crime,slice,g30_protag_shonen_007
protag,shonen,kaiju,slice,g30_protag_shonen_008
protag,shonen,cosmic_horror,slice,g30_protag_shonen_008
protag,shonen,arabia,slice,g30_protag_shonen_054
protag,shonen,horror,romance,airi
protag,shonen,horror,sports,v4_lead_shonen_032
protag,shonen,cyber,horror,kage
protag,shonen,fantasy,horror,v4_lead_shonen_013
protag,shonen,horror,idol,airi
protag,shonen,horror,mystery,kage
protag,shonen,comedy,horror,v4_lead_shonen_013
protag,shonen,cooking,horror,zuri
protag,shonen,horror,military,cv3_lead_024
protag,shonen,horror,supernatural,cv3_lead_023
protag,shonen,horror,space,cv3_lead_026
protag,shonen,horror,magical,cv3_lead_022
protag,shonen,horror,survival,yuki
protag,shonen,horror,pirate,cv3_lead_025
protag,shonen,horror,martial,cv3_lead_024
protag,shonen,horror,mythology,cv3_lead_025
protag,shonen,horror,nordic,yuki
protag,shonen,horror,samurai,cv3_lead_022
protag,shonen,horror,shinobi,cv3_lead_021
protag,shonen,horror,vampire,vg_lead_shonen_horror
protag,shonen,grimdark,horror,vg_lead_shonen_horror
protag,shonen,horror,monster_taming,g30_protag_shonen_009
protag,shonen,crime,horror,g30_protag_shonen_009
protag,shonen,horror,kaiju,g30_protag_shonen_010
protag,shonen,cosmic_horror,horror,g30_protag_shonen_010
protag,shonen,arabia,horror,g30_protag_shonen_054
protag,shonen,romance,sports,v4_lead_shonen_014
protag,shonen,cyber,romance,v4_lead_shonen_031
protag,shonen,fantasy,romance,ryu
protag,shonen,idol,romance,airi
protag,shonen,mystery,romance,v4_lead_shonen_015
protag,shonen,comedy,romance,cv3_lead_006
protag,shonen,cooking,romance,cv3_lead_012
protag,shonen,military,romance,v4_lead_shonen_014
protag,shonen,romance,supernatural,v4_lead_shonen_002
protag,shonen,romance,space,v4_lead_shonen_015
protag,shonen,magical,romance,v4_lead_shonen_016
protag,shonen,romance,survival,v4_lead_shonen_016
protag,shonen,pirate,romance,kaito
protag,shonen,martial,romance,ryu
protag,shonen,mythology,romance,cv3_lead_056
protag,shonen,nordic,romance,cv3_lead_012
protag,shonen,romance,samurai,v4_lead_shonen_031
protag,shonen,romance,shinobi,cv3_lead_056
protag,shonen,romance,vampire,vg_lead_shonen_romance
protag,shonen,grimdark,romance,vg_lead_shonen_romance
protag,shonen,monster_taming,romance,g30_protag_shonen_011
protag,shonen,crime,romance,g30_protag_shonen_011
protag,shonen,kaiju,romance,g30_protag_shonen_012
protag,shonen,cosmic_horror,romance,g30_protag_shonen_012
protag,shonen,arabia,romance,g30_protag_shonen_055
protag,shonen,cyber,sports,cv3_lead_013
